month,HEAD,total_pkr
2024-01,Labour charges-corn(DAL),834597.0
2024-01,Purchases of Pak Afgoi(Corn),751016.0
2024-01,Labour Charges Dryer Corn,246706.0
2024-01,Freight & octroi-corn seed,22500.0
2024-01,Seasonal Disc.Corn(Mosmi)July-Dec,11000.0
2024-01,Processing charges-corn seed,-97490.0
2024-02,Labour charges-corn(DAL),692906.0
2024-02,Seasonal Disc.Corn(Mosmi)July-Dec,349000.0
2024-02,Labour Charges Dryer Corn,250994.0
2024-02,Freight & octroi-corn seed,89600.0
2024-02,Samples-corn seed,10000.0
2024-02,Processing charges-corn seed,-125694.0
2024-03,Seasonal Disc.Corn(Mosmi)July-Dec,2393500.0
2024-03,Discount-corn seed,127512.0
2024-03,Labour charges-corn(DAL),92310.0
2024-03,Labour Charges Dryer Corn,59456.0
2024-03,Samples-corn seed,21164.0
2024-03,Labour charges-corn,17278.0
2024-03,Freight & octroi-corn seed,13800.0
2024-04,Seasonal Disc.Corn(Mosmi)July-Dec,107694.0
2024-04,Labour charges-corn(DAL),60362.0
2024-04,Freight & octroi-corn seed,37000.0
2024-04,Processing charges-corn seed,-31980.0
2024-05,Labour charges-corn(DAL),67718.0
2024-05,Freight & octroi-corn seed,60500.0
2024-05,Samples-corn seed,10000.0
2024-05,Commission on sale of corn seed,8306.0
2024-06,Purchases of Pak Afgoi(Corn),446694.0
2024-06,Labour charges-corn(DAL),170313.0
2024-06,Freight & octroi-corn seed,15610.0
2024-07,Labour charges-corn(DAL),231322.0
2024-07,Freight & octroi-corn seed,223900.0
2024-07,Purchases of Pak Afgoi(Corn),8064.0
2024-07,Processing charges-corn seed,-92640.0
2024-08,Labour charges-corn(DAL),305254.0
2024-08,Freight & octroi-corn seed,238000.0
2024-08,Seasonal Disc.Corn(Mosmi)July-Dec,27000.0
2024-09,Seasonal Disc.Corn(Mosmi)July-Dec,8684000.0
2024-09,Labour charges Detasseling corn(Co),495000.0
2024-09,Freight & octroi-corn seed,138150.0
2024-09,Labour charges-corn(DAL),136450.0
2024-09,Processing charges-corn seed,-30420.0
2024-10,Seasonal Disc.Corn(Mosmi)July-Dec,567600.0
2024-10,Freight & octroi-corn seed,57300.0
2024-10,Labour charges-corn(DAL),48834.0
2024-11,Purchases of Pak Afgoi(Corn),3542462.0
2024-11,Labour charges-corn(DAL),97694.0
2024-12,Purchases of Pak Afgoi(Corn),3514683.0
2024-12,Labour charges-corn(DAL),478050.0
2024-12,Labour Charges Dryer Corn,288666.0
2024-12,Seasonal Disc.Corn(Mosmi)July-Dec,34270.0
2024-12,Pesticide Corn Exp,10168.0
2024-12,Freight & octroi-corn seed,4000.0
2024-12,Shelling expenses-corn,2500.0
2025-01,Labour charges-corn(DAL),202146.0
2025-01,Labour Charges Dryer Corn,126563.0
2025-01,Seasonal Disc.Corn(Mosmi)July-Dec,115019.0
2025-01,Freight & octroi-corn seed,103400.0
2025-01,Processing charges-corn seed,-37380.0
2025-02,Labour charges-corn(DAL),207262.0
2025-02,Freight & octroi-corn seed,169550.0
2025-02,Seasonal Disc.Corn(Mosmi)July-Dec,95000.0
2025-02,Labour Charges Dryer Corn,71270.0
2025-03,Seasonal Disc.Corn(Mosmi)July-Dec,589650.0
2025-03,Labour charges-corn(DAL),70889.0
2025-03,Pesticide Corn Exp,44547.0
2025-03,Freight & octroi-corn seed,24050.0
2025-03,Labour Charges Dryer Corn,10488.0
2025-04,Labour charges-corn(DAL),36193.0
2025-04,Freight & octroi-corn seed,16700.0
2025-05,Seasonal Disc.Corn(Mosmi)July-Dec,305650.0
2025-05,Labour charges-corn(DAL),58018.0
2025-05,Samples-corn seed,35800.0
2025-05,Freight & octroi-corn seed,28500.0
2025-06,Seasonal Disc.Corn(Mosmi)July-Dec,236500.0
2025-06,Labour charges-corn(DAL),107006.0
2025-06,Pesticide Corn Exp,9953.0
2025-06,Discount on sale of corn afgoyee,5100.0
2025-06,Freight & octroi-corn seed,2100.0
2025-07,Freight & octroi-corn seed,463500.0
2025-07,Labour charges-corn(DAL),205453.0
2025-07,Processing charges-corn seed,-133308.0
2025-08,Labour charges-corn(DAL),945635.0
2025-08,Freight & octroi-corn seed,527550.0
2025-09,Seasonal Disc.Corn(Mosmi)July-Dec,9800323.0
2025-09,Labour charges Detasseling corn(Co),1926000.0
2025-09,Freight & octroi-corn seed,413000.0
2025-09,Labour charges-corn(DAL),256765.0
2025-09,Pesticide Corn Exp,81119.0
2025-10,Labour charges-corn(DAL),64398.0
2025-10,Freight & octroi-corn seed,4000.0
