HEAD,total_spend_pkr,avg_share_pct,first_month,last_month,months_active,mean_mom_growth
Purchase of Raw Material (Wheat),82494188.0,32.80920922954569,2024-04,2025-07,5,13.87133717494021
Purchase of Sunflower,71504499.0,22.28049966300887,2024-01,2025-09,10,1.6265397467343343
Purchase of Millet(BAJRA),45000000.0,81.77554910209575,2025-01,2025-01,1,
Mark-up on Redeemable Capt. NDFC,31479168.46,11.279867550224258,2024-05,2025-09,10,0.09829591080091953
Mark-up on Al-Towfiq,29983184.599999998,15.38874581657343,2024-03,2025-09,7,-0.07431753839460954
Purchase of wheat Commercial,24199630.0,16.261917499898026,2024-04,2025-04,5,6.6844466192920535
Seasonal Disc.Corn(Mosmi)July-Dec,23316206.0,7.039578099706314,2024-01,2025-09,14,30.827436973311162
Mark-up on Supliers Credit Loan,18713913.14,10.579697134552376,2024-03,2025-09,7,-0.0936920714414647
Purchase of Raw Material (Paddy),17169664.0,12.47869833923671,2024-05,2025-08,7,71.22450833892921
Salaries & Wages,16356926.0,3.979391108342083,2024-01,2025-09,21,0.024146705740902254
Salary & Wages-Production staff,16171887.0,4.592579163247441,2024-01,2025-09,21,0.10962167196030322
Purchase of canola cooking oil,12501520.5,6.848787000007353,2024-01,2025-10,10,13.970404588736303
Electricity Charges,12246127.0,3.936270786869008,2024-01,2025-09,15,21.99845981605045
Salary & Wages,12058246.0,3.1369733637569186,2024-01,2025-09,17,0.18586314638578721
Salaries & Wages (H.O),11471310.0,3.295221325613788,2024-01,2025-09,17,0.18767974340846602
Packing Material Consumed,10001295.0,1.9551735244553603,2024-01,2025-10,22,8.948946429050439
Purchase of Silage,9738339.0,12.112523591266337,2025-05,2025-07,2,-1.0
Directors Remuneration,9212481.0,2.5240552179408753,2024-01,2025-09,17,0.18446335854260415
Diesel for Generator Consumed,8460545.0,5.16750940979515,2024-03,2025-09,7,2.671224946539334
Purchases of Pak Afgoi(Corn),8262919.0,5.229746369604416,2024-01,2024-12,5,109.22459998647622
Purchase of R.M.Okra,7967665.0,7.715361058553199,2024-06,2025-09,7,3.213040106851873
Labour charges-Misc,7516084.0,2.0510963845055663,2024-01,2025-10,22,-0.021850937838180616
Chemicals Consumed,7269997.0,4.4726817671446915,2024-03,2025-09,7,2.187357104333775
Salaries & Wages (Factory),6996412.0,1.8367249388349276,2024-01,2025-09,21,0.015173213655582302
Labour charges-corn(DAL),5369575.0,1.6490440452712674,2024-01,2025-10,22,0.35352361612951294
Purchase of Hybrid Rice,5348000.0,16.599321123708474,2024-05,2024-05,1,
Labour Charges,4588114.0,2.17587543327284,2024-08,2025-09,11,0.2646450277348038
Discount-wheat seed,3386950.0,1.1517488490946206,2024-11,2025-09,6,70.78988836925967
Germination Claim,3327489.0,0.7611715855673749,2024-01,2025-10,18,2.8889424298685262
Labour charges,3283018.0,1.041142022826117,2024-01,2025-10,22,0.2927991956645725
Purchase of Fuzzy Cotton Seed.,2666850.0,1.7359808545435529,2024-03,2024-12,3,22.506343144560354
Freight & octroi-corn seed,2652710.0,1.003816770822878,2024-01,2025-10,21,12.896660364270712
Labour charges Detasseling corn(Co),2421000.0,4.261191414839375,2024-09,2025-09,2,2.890909090909091
Labour charges(Daily Marketing staf,2114950.0,0.5912261818346106,2024-01,2025-09,21,0.2888167382054331
Fee & Subscription,2082145.0,0.8736316789836317,2024-03,2025-09,11,11.169683155299065
Germination Claim Wheat,1969650.0,1.1467413022387276,2024-12,2025-05,4,1.7479900642314747
