AC_NO,HEAD,total_spend_pkr,first_txn,last_txn,months_active
1533,Purchase of Sunflower,89915739.0,2023-12-04,2025-09-11,11
384,Purchase of Raw Material (Wheat),82494188.0,2024-04-22,2025-07-28,5
1509,Purchase of Raw Material (Paddy),59586358.0,2023-07-06,2025-08-07,12
5884,Purchase of Millet(BAJRA),45000000.0,2025-01-31,2025-01-31,1
268,Mark-up on Redeemable Capt. NDFC,40633798.46,2023-09-30,2025-09-24,12
271,Mark-up on Al-Towfiq,36412443.08,2023-10-06,2025-09-30,9
1510,Purchase of canola cooking oil,27955322.5,2023-08-22,2025-10-08,14
5752,Seasonal Disc.Corn(Mosmi)July-Dec,26948420.0,2023-10-31,2025-09-30,16
6128,Purchase of wheat Commercial,24199630.0,2024-04-29,2025-04-30,5
270,Mark-up on Supliers Credit Loan,18765714.51,2023-12-31,2025-09-30,8
180,Purchase of Kappas,18445511.0,2023-07-04,2024-07-12,3
5726,Salary & Wages-Production staff,17995635.0,2023-07-31,2025-09-30,27
4728,Salary & Wages,15763648.0,2023-08-07,2025-09-30,22
190,Electricity Charges,15018176.0,2023-08-15,2025-09-30,20
187,Packing Material Consumed,14608687.0,2023-07-04,2025-10-02,28
192,Salaries & Wages,14075114.0,2023-07-31,2025-09-30,27
1479,Purchases of Pak Afgoi(Corn),13579735.0,2023-08-11,2024-12-18,9
220,Salaries & Wages (H.O),13362310.0,2023-08-07,2025-09-30,22
218,Directors Remuneration,11312481.0,2023-08-08,2025-09-30,22
189,Diesel for Generator Consumed,9981782.0,2023-12-31,2025-09-30,8
6658,Purchase of Silage,9738339.0,2025-05-31,2025-07-03,2
1451,Purchase of Fuzzy Cotton Seed.,9552050.0,2023-11-15,2024-12-05,4
2168,Labour charges-Misc,9086361.0,2023-07-27,2025-10-09,28
286,Salaries & Wages (Factory),8816980.0,2023-07-31,2025-09-30,27
208,Chemicals Consumed,8635436.0,2023-12-31,2025-09-30,8
2650,Purchase of R.M.Okra,7967665.0,2024-06-20,2025-09-13,7
251,Salaries & Wages,7788692.0,2023-07-31,2025-09-30,27
1235,Purchase of Raw Material Okra,7640500.0,2023-08-16,2023-12-02,2
6136,Purchase of Hybrid Rice,5348000.0,2024-05-13,2024-05-13,1
4737,Labour Charges,4526304.0,2024-08-13,2025-09-30,11
5746,Labour charges Detasseling corn(Co),4308000.0,2023-09-30,2025-09-30,3
